timeframe,sl,tp,rr_ratio,rsi_buy,rsi_sell,use_candlestick,win_rate,num_trades,final_balance,net_roi,max_drawdown
M15,12.0,36.0,3.0,40-60,40-60,False,27.906976744186046,301,676.2917775413007,35.25835550826014,12.920878251382806
M30,15.0,45.0,3.0,45-60,40-55,True,31.896551724137932,116,674.7263821624502,34.945276432490054,8.648275251635896
M15,6.0,9.0,1.5,30-70,30-70,True,43.714285714285715,350,673.6088807323291,34.72177614646582,11.42775111019105
M15,10.0,30.0,3.0,40-60,40-60,True,29.230769230769234,195,673.5171627205476,34.703432544109525,11.413989471947298
M15,15.0,45.0,3.0,30-70,30-70,False,27.85234899328859,298,669.9254757452948,33.98509514905895,18.402824480267615
M15,8.0,14.4,1.8,30-70,30-70,False,37.876106194690266,565,668.2635911984921,33.65271823969842,19.289559794721743
M15,10.0,20.0,2.0,40-60,40-60,True,38.5,200,667.2862339684025,33.4572467936805,12.45688064532756
M15,10.0,25.0,2.5,30-70,30-70,False,30.786516853932582,445,666.4683025508768,33.293660510175364,20.30098004438444
M15,6.0,15.0,2.5,30-70,30-70,False,30.258899676375407,618,665.4289697366459,33.08579394732917,24.207025035427993
M15,15.0,37.5,2.5,30-70,30-70,True,32.589285714285715,224,664.8544228215499,32.97088456430997,10.953554191179734
M15,6.0,9.0,1.5,45-60,40-55,False,42.88990825688073,436,662.648714397307,32.529742879461395,15.205362207438544
M30,12.0,36.0,3.0,45-60,40-55,True,30.952380952380953,126,660.5165408612015,32.103308172240304,8.648275251635885
M30,15.0,45.0,3.0,40-60,40-60,True,30.952380952380953,126,660.5165408612011,32.10330817224021,8.64827525163591
M15,10.0,30.0,3.0,40-60,40-60,False,27.492447129909365,331,660.0915236229662,32.018304724593236,20.31026802795465
M15,6.0,9.0,1.5,40-60,40-60,True,45.06437768240343,233,659.4917225754167,31.898344515083338,11.855253132498458
M30,10.0,30.0,3.0,30-70,30-70,True,28.708133971291865,209,658.9424429762371,31.788488595247415,17.627406521303595
M15,10.0,18.0,1.8,30-70,30-70,True,39.44636678200692,289,658.2270882386264,31.645417647725278,11.761387682787424
M30,10.0,30.0,3.0,40-60,40-60,True,30.0,150,658.1737371360427,31.63474742720855,9.66884506454462
M15,15.0,30.0,2.0,45-60,40-55,True,39.263803680981596,163,656.5461549761064,31.309230995221288,7.043147366637577
M15,12.0,30.0,2.5,45-60,40-55,True,33.52941176470588,170,656.1563274722299,31.23126549444598,11.668185803123677
M15,12.0,36.0,3.0,40-60,40-60,True,29.213483146067414,178,655.4509666567349,31.09019333134697,10.519181284795241
M30,15.0,30.0,2.0,30-70,30-70,True,38.67403314917127,181,655.3731246624666,31.074624932493318,8.675498065610926
M15,6.0,18.0,3.0,45-60,40-55,False,27.06766917293233,399,653.4793981332788,30.695879626655753,21.38699244582884
M15,6.0,15.0,2.5,40-60,40-60,False,30.648769574944073,447,653.2055833301151,30.641116666023027,26.540922850335257
M30,12.0,36.0,3.0,40-60,40-60,True,30.215827338129497,139,652.7506574489423,30.550131489788463,8.648275251635912
M15,12.0,18.0,1.5,45-60,40-55,True,46.32768361581921,177,652.422538252057,30.48450765041141,8.205219386606357
M30,12.0,30.0,2.5,40-60,40-60,True,34.26573426573427,143,651.850046289481,30.370009257896207,8.648275251635889
M30,12.0,30.0,2.5,30-70,30-70,True,32.82051282051282,195,650.8904232608973,30.17808465217945,15.07526020766743
M15,12.0,36.0,3.0,45-60,40-55,True,29.447852760736197,163,650.4353987426613,30.087079748532254,9.615334631106306
M15,15.0,22.5,1.5,45-60,40-55,True,46.470588235294116,170,649.5162939830404,29.90325879660809,6.863117128173286
M15,8.0,20.0,2.5,45-60,40-55,True,32.8125,192,647.9084247360505,29.581684947210103,14.536421807805617
M15,10.0,18.0,1.8,40-60,40-60,True,40.5940594059406,202,646.4145928504518,29.28291857009035,11.383325006663508
M15,12.0,30.0,2.5,30-70,30-70,True,31.782945736434108,258,645.8344622878052,29.16689245756104,19.677050604227226
M15,12.0,21.6,1.8,40-60,40-60,True,40.83769633507853,191,645.7637733553491,29.15275467106983,9.58404755296758
M15,10.0,15.0,1.5,30-70,30-70,True,43.666666666666664,300,643.2346423965648,28.646928479312965,11.725211362883098
M30,10.0,30.0,3.0,40-60,40-60,False,27.983539094650205,243,642.7770155677773,28.55540311355546,16.94305157907513
M15,12.0,24.0,2.0,40-60,40-60,True,38.095238095238095,189,641.9484271283716,28.389685425674315,11.387927097564216
M15,6.0,9.0,1.5,45-60,40-55,True,45.023696682464454,211,641.1012022746285,28.220240454925694,10.06555773135239
M30,10.0,25.0,2.5,45-60,40-55,True,34.05797101449276,138,639.4320289078252,27.88640578156503,9.64011911549965
M15,8.0,24.0,3.0,45-60,40-55,False,27.167630057803464,346,639.3492575794277,27.869851515885536,26.380840344558226
M15,10.0,15.0,1.5,45-60,40-55,True,45.65217391304348,184,639.2003631264507,27.840072625290148,9.56179249911956
M15,12.0,36.0,3.0,30-70,30-70,True,27.86885245901639,244,636.349245412101,27.269849082420205,18.595884852651455
M15,8.0,16.0,2.0,40-60,40-60,False,35.64356435643564,404,634.6661465438976,26.933229308779527,18.313551656416156
M30,10.0,30.0,3.0,45-60,40-55,True,29.850746268656714,134,634.1139168398007,26.82278336796014,9.56179249911957
M15,12.0,36.0,3.0,45-60,40-55,False,27.500000000000004,280,632.9666231799952,26.593324635999032,12.612414687655296
M15,15.0,30.0,2.0,30-70,30-70,True,36.92946058091287,241,632.3170173096604,26.463403461932078,11.519880418570065
M30,15.0,27.0,1.8,30-70,30-70,True,40.54054054054054,185,630.8480429726633,26.169608594532654,9.810424190107444
M15,15.0,30.0,2.0,40-60,40-60,True,38.06818181818182,176,630.1119608522876,26.022392170457508,8.72991935878268
M15,15.0,27.0,1.8,45-60,40-55,True,40.963855421686745,166,628.1566747919942,25.63133495839884,5.757099954732494
M15,8.0,12.0,1.5,30-70,30-70,True,43.125,320,626.4540935702937,25.290818714058744,18.84710794641897
M30,15.0,30.0,2.0,40-60,40-60,True,39.25925925925926,135,626.4192060040724,25.283841200814482,8.648275251635905
M15,12.0,30.0,2.5,40-60,40-60,True,32.432432432432435,185,626.3271711276828,25.26543422553657,12.551503945092476
