timeframe,sl,tp,rr_ratio,rsi_buy,rsi_sell,use_candlestick,win_rate,num_trades,final_balance,net_roi,max_drawdown
M30,15.0,37.5,2.5,45-60,40-55,False,29.2817679558011,181,511.2576018873094,2.2515203774618837,13.971828462028801
M15,15.0,30.0,2.0,40-60,40-60,False,33.935018050541515,277,511.24227799276997,2.2484555985539942,18.020874310892456
M30,10.0,18.0,1.8,45-60,40-55,False,36.36363636363637,242,511.20422723904744,2.240845447809488,14.380203788537498
M30,15.0,27.0,1.8,45-60,40-55,False,36.41025641025641,195,510.3009448874539,2.060188977490782,12.841041635950894
M30,12.0,24.0,2.0,45-60,40-55,False,33.95348837209302,215,509.3076222181974,1.8615244436394847,17.09402257466296
H1,15.0,27.0,1.8,40-60,40-60,True,37.254901960784316,51,508.7495211604668,1.7499042320933653,6.087705753413945
M30,12.0,18.0,1.5,40-60,40-60,False,40.562248995983936,249,508.2168639244735,1.6433727848947002,15.173661525335453
M30,8.0,16.0,2.0,45-60,40-55,True,34.02777777777778,144,507.8341560720953,1.5668312144190621,13.409769665071671
M30,12.0,21.6,1.8,40-60,40-60,False,36.25,240,507.23762898042014,1.447525796084028,17.320224806964408
M15,15.0,45.0,3.0,45-60,40-55,False,25.514403292181072,243,506.813480789267,1.3626961578533952,20.404597520780587
M30,12.0,18.0,1.5,45-60,40-55,False,40.52863436123348,227,506.520657484736,1.3041314969471955,15.519952831334644
H1,15.0,27.0,1.8,40-60,40-60,False,36.283185840707965,113,503.9215293581918,0.7843058716383553,16.50562693343046
M15,15.0,27.0,1.8,30-70,30-70,False,36.11111111111111,360,503.82057807149124,0.7641156142982481,24.012722697314086
M30,8.0,14.4,1.8,45-60,40-55,False,36.12167300380228,263,503.1779562163197,0.6355912432639457,23.956598179944287
M30,10.0,20.0,2.0,45-60,40-55,False,33.75,240,503.01375150693156,0.6027503013863111,19.60435024430654
M30,6.0,18.0,3.0,30-70,30-70,True,25.438596491228072,228,502.9352998695988,0.5870599739197587,18.644078530942167
H1,6.0,12.0,2.0,40-60,40-60,True,33.92857142857143,56,502.19856559157495,0.4397131183149895,5.851985059900003
M30,8.0,12.0,1.5,45-60,40-55,True,40.41095890410959,146,502.0285629093358,0.4057125818671579,14.76047256823817
H1,15.0,27.0,1.8,30-70,30-70,True,36.17021276595745,94,501.7716639749565,0.3543327949912964,11.583439182133477
M30,15.0,45.0,3.0,45-60,40-55,False,25.423728813559322,177,501.7539532802672,0.35079065605343657,11.884883420240792
M30,8.0,14.4,1.8,45-60,40-55,True,36.11111111111111,144,501.5247421987226,0.30494843974452124,12.862489731455314
H1,12.0,36.0,3.0,40-60,40-60,False,25.423728813559322,118,501.16861961669997,0.23372392333999414,12.457022513921247
M30,6.0,15.0,2.5,45-60,40-55,True,28.965517241379313,145,500.95347590466776,0.190695180933551,12.952141712859039
H1,15.0,22.5,1.5,40-60,40-60,True,40.38461538461539,52,500.5505283142448,0.11010566284895731,7.451126889731449
