timeframe,sl,tp,grid_step,multiplier,max_legs,target_profit,rsi_buy,rsi_sell,use_candlestick,win_rate,num_baskets,final_balance,net_roi,max_drawdown
M30,15.0,20.0,15.0,2.0,4,4.0,45-60,40-55,True,46.92307692307692,130,518.4327268086565,3.6865453617313055,2.667825782455785
M30,15.0,20.0,15.0,2.0,4,2.0,45-60,40-55,True,46.92307692307692,130,518.4327268086565,3.6865453617313055,2.667825782455785
M30,15.0,20.0,15.0,2.0,3,4.0,45-60,40-55,True,46.92307692307692,130,518.4327268086565,3.6865453617313055,2.667825782455785
M15,30.0,20.0,20.0,2.0,4,2.0,30-70,30-70,False,84.91228070175438,285,518.1934179581777,3.638683591635549,24.332113847817045
H1,30.0,15.0,10.0,2.0,3,4.0,30-70,30-70,False,89.88095238095238,168,518.1696946982561,3.6339389396512165,17.62844896124852
M30,15.0,15.0,10.0,2.0,4,4.0,45-60,40-55,True,65.41353383458647,133,517.8199650593747,3.5639930118749366,3.31409273706951
M30,15.0,15.0,10.0,2.0,3,4.0,45-60,40-55,True,65.41353383458647,133,517.8199650593747,3.5639930118749366,3.31409273706951
H1,15.0,15.0,10.0,1.5,3,2.0,30-70,30-70,False,59.183673469387756,196,517.1446201137437,3.4289240227487423,2.171143905032828
H1,15.0,15.0,10.0,1.5,4,2.0,30-70,30-70,False,59.183673469387756,196,517.1446201137437,3.4289240227487423,2.171143905032828
M15,15.0,15.0,15.0,1.5,3,2.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,20.0,2.0,3,2.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,15.0,1.5,4,2.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,20.0,1.5,4,4.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,15.0,2.0,3,2.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,15.0,2.0,3,4.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
